se_name	cell_specific_gain	number_ce_gain	number_cell_gain	gain_ce	number_ce_loss	number_cell_loss	loss_ce
chr19_18514589_18573139	yes	1	6	chr19_18514136_18516339:CAKI-1,COLO_205,HT29,IGROV1,MDA-MB-468,OVCAR-5	0	0	none
chr19_18965926_18986919	yes	1	2	chr19_18984122_18986919:HL-60,NCI-H322M	1	9	chr19_18966487_18975154:CCRF-CEM,COLO_205,M14,MALME-3M,MCF7,MDA-MB-231,MOLT-4,NCI-H522,RPMI-8226
chr19_19360914_19424531	yes	2	2	chr19_19374632_19376254:HL-60,IGROV1,K-562,MCF7,MDA-MB-468,NCI-H322M,OVCAR-4,OVCAR-5,RPMI-8226,T-47D|chr19_19422353_19424531:SK-MEL-2,SK-MEL-28	5	7	chr19_19364152_19367428:BT-549,HS_578T,MDA-MB-231,MDA-MB-435,SF-268,SNB-75,UACC-62|chr19_19384259_19385529:HCT-116,SF-295,SNB-75,SR,TK-10|chr19_19385727_19390412:MDA-MB-231|chr19_19402345_19405717:CCRF-CEM,MALME-3M,MOLT-4|chr19_19405925_19408182:CCRF-CEM,EKVX,MALME-3M,MDA-MB-231,OVCAR-4,SR,U251
chr19_19437997_19465040	yes	2	8	chr19_19438529_19439214:M14,SK-MEL-28|chr19_19450550_19453233:HL-60,HOP-92,IGROV1,M14,MALME-3M,NCI_ADR-RES,SK-MEL-28,SR	0	0	none
chr19_19590575_19629991	no	0	0	none	0	0	none
chr19_1993030_2097818	no	0	0	none	1	1	chr19_2080040_2096650:SK-MEL-5
chr19_21013943_21034448	yes	1	1	chr19_21013855_21014838:NCI_ADR-RES	1	1	chr19_21020101_21025365:TK-10
chr19_21081145_21257689	yes	6	5	chr19_21088764_21094188:HOP-92,NCI_ADR-RES,NCI-H226,NCI-H522,OVCAR-8,SF-539,SN12C,SNB-75|chr19_21132487_21136706:NCI_ADR-RES,NCI-H522,OVCAR-8,SF-268,SN12C|chr19_21181196_21185055:HOP-92,NCI_ADR-RES,NCI-H522,OVCAR-8,SF-268,SN12C|chr19_21217691_21226537:HOP-92,HS_578T,NCI_ADR-RES,NCI-H226,NCI-H522,OVCAR-8,SF-268,SN12C|chr19_21227627_21230197:NCI-H522|chr19_21233201_21238458:NCI_ADR-RES,NCI-H322M,NCI-H522,SF-268,SN12C	2	3	chr19_21081145_21087099:CAKI-1,KM12,MALME-3M,MDA-MB-231,NCI-H322M,T-47D,TK-10|chr19_21140977_21148371:MALME-3M,MDA-MB-231,TK-10
chr19_2149194_2186070	no	0	0	none	2	8	chr19_2149194_2151489:MALME-3M|chr19_2151867_2156136:CCRF-CEM,MALME-3M,MDA-MB-231,MOLT-4,OVCAR-8,SK-MEL-5,SN12C,SR
chr19_21568450_21628774	yes	4	5	chr19_21584579_21587859:CCRF-CEM,MOLT-4,SF-268,SK-OV-3,SN12C|chr19_21591893_21596808:K-562,NCI-H322M,SK-OV-3|chr19_21607492_21614635:CCRF-CEM,K-562,MOLT-4,NCI-H322M|chr19_21624284_21628774:CCRF-CEM,K-562,KM12,MOLT-4,SK-OV-3	0	0	none
chr19_22272766_22319340	yes	6	3	chr19_22282805_22284561:A549,IGROV1,SF-268,SK-MEL-2|chr19_22286412_22287516:RPMI-8226,SF-268,SN12C|chr19_22294073_22295849:RPMI-8226,SF-268|chr19_22296773_22298770:SF-268|chr19_22298919_22299791:SF-268|chr19_22312314_22319340:NCI-H522,SF-268,SN12C	0	0	none
chr19_2235526_2247527	yes	1	7	chr19_2247241_2247858:A498,ACHN,HCC-2998,IGROV1,NCI-H226,SNB-19,U251	0	0	none
chr19_22507479_22545738	yes	3	5	chr19_22508491_22510526:NCI-H522,SF-268|chr19_22522355_22532563:NCI_ADR-RES,NCI-H522,OVCAR-8,RPMI-8226,SF-268|chr19_22532687_22533718:NCI_ADR-RES,NCI-H522,OVCAR-8,SF-268,SK-OV-3	0	0	none
chr19_2255705_2291538	yes	4	4	chr19_2255341_2258902:CCRF-CEM,HCT-15,KM12,MOLT-4,OVCAR-3,RPMI-8226|chr19_2262097_2265685:HL-60,K-562,RPMI-8226|chr19_2281209_2283295:HL-60,SF-539,SR|chr19_2288257_2291538:HL-60,K-562,RPMI-8226,SR	2	2	chr19_2265721_2269290:COLO_205,HCT-116,M14,NCI-H322M,OVCAR-8,RXF_393,SF-295,SNB-75,UACC-257,UACC-62|chr19_2269464_2275246:MALME-3M,SNB-75
chr19_22613067_22665746	yes	5	1	chr19_22623160_22624129:SF-268|chr19_22633557_22634117:BT-549,MDA-MB-468,NCI-H226,NCI-H522,SK-OV-3,SN12C,SNB-19,UO-31|chr19_22634263_22635446:BT-549,CCRF-CEM,IGROV1,MCF7,MOLT-4,NCI-H322M,NCI-H522,SF-268,SN12C,SNB-19,T-47D,UO-31|chr19_22635592_22636457:NCI-H522,SF-268|chr19_22661453_22665746:SF-268	0	0	none
chr19_22746334_22805968	yes	4	1	chr19_22747831_22749469:SF-268,SN12C|chr19_22753407_22762198:NCI-H522,SF-268,SN12C|chr19_22783433_22784797:BT-549,SF-268,SN12C,T-47D|chr19_22786341_22788493:SF-268	0	0	none
chr19_22832018_22904504	yes	4	1	chr19_22836135_22837987:SF-268|chr19_22855261_22859140:NCI-H522,SF-268|chr19_22880313_22885045:NCI-H522,SF-268,SN12C|chr19_22887030_22888909:SF-268	0	0	none
chr19_23525846_23567039	yes	3	8	chr19_23533902_23538294:HOP-62,HOP-92,MDA-MB-468,SF-268,SK-OV-3,SN12C|chr19_23539843_23541653:HOP-62,MDA-MB-468,MOLT-4,SF-268,SN12C|chr19_23558150_23566369:MDA-MB-468,NCI_ADR-RES,NCI-H322M,OVCAR-8,SF-268,SK-OV-3,SN12C,SNB-19	0	0	none
chr19_23671112_23701378	yes	3	12	chr19_23671688_23678799:RPMI-8226|chr19_23680428_23682770:MDA-MB-468,NCI_ADR-RES,NCI-H522,OVCAR-8,RPMI-8226,SK-OV-3|chr19_23692320_23701492:BT-549,HOP-92,HS_578T,MDA-MB-468,NCI_ADR-RES,NCI-H226,NCI-H522,OVCAR-3,RPMI-8226,SK-MEL-2,SK-OV-3,T-47D	1	3	chr19_23683514_23688082:LOX_IMVI,MALME-3M,OVCAR-5
chr19_2455689_2580357	yes	1	7	chr19_2516266_2519544:COLO_205,HCT-116,HCT-15,HOP-62,NCI-H522,SF-539,SW-620	5	10	chr19_2461130_2463954:CCRF-CEM,HL-60,K-562,MALME-3M,NCI-H322M,OVCAR-4,OVCAR-5,SR,TK-10|chr19_2476112_2479825:CCRF-CEM,MALME-3M,MDA-MB-231,MDA-MB-435,OVCAR-8,SF-539,SK-MEL-5,SNB-75,UACC-62|chr19_2490201_2497290:CCRF-CEM,HL-60,K-562,MALME-3M,MDA-MB-231,MDA-MB-435,MOLT-4,SK-OV-3,SNB-75,SR,U251,UACC-62|chr19_2526829_2551464:RPMI-8226|chr19_2575487_2580357:CCRF-CEM,K-562,KM12,MALME-3M,MDA-MB-435,MOLT-4,SF-295,SK-MEL-5,SR,UACC-62
chr19_2595155_2637787	yes	1	1	chr19_2631050_2632796:RPMI-8226	0	0	none
chr19_2685463_2703314	yes	3	2	chr19_2685423_2686603:M14,MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,SNB-75,UACC-257,UACC-62|chr19_2691413_2697199:M14,MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,SNB-75,UACC-257,UACC-62|chr19_2702906_2703314:HCT-116,SK-MEL-2	0	0	none
chr19_27002491_27189749	yes	1	9	chr19_27022682_27023001:A498,CCRF-CEM,HL-60,MALME-3M,NCI-H23,NCI-H522,SNB-19,UACC-257,UACC-62	1	7	chr19_27183438_27183822:EKVX,M14,MCF7,MDA-MB-231,MDA-MB-435,SF-295,SR
chr19_27387894_27417638	yes	5	4	chr19_27391695_27393683:M14,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257,UACC-62|chr19_27393852_27399290:M14,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257,UACC-62|chr19_27402758_27405571:M14,SK-MEL-2|chr19_27411745_27412973:M14,SK-MEL-2,SK-MEL-5|chr19_27413245_27417638:M14,MDA-MB-435,SK-MEL-2,SK-MEL-5	0	0	none
chr19_27672963_27794755	yes	8	1	chr19_27670456_27674607:MDA-MB-468,NCI_ADR-RES,SF-539,SW-620|chr19_27675047_27679182:MDA-MB-468,NCI_ADR-RES,SF-539,X786-0|chr19_27679382_27680220:MDA-MB-468|chr19_27705897_27710800:MDA-MB-468,NCI_ADR-RES|chr19_27716478_27720943:MDA-MB-468,NCI_ADR-RES,SN12C|chr19_27732045_27736989:MDA-MB-468,NCI_ADR-RES,NCI-H226,SN12C|chr19_27740697_27743181:MDA-MB-468,NCI_ADR-RES,SN12C|chr19_27779664_27781135:HL-60	1	2	chr19_27791151_27795464:MDA-MB-231,OVCAR-5
chr19_27882759_27907169	yes	6	7	chr19_27883384_27884496:SK-MEL-28,SK-MEL-5,UACC-257|chr19_27884734_27885518:SK-MEL-5,UACC-257|chr19_27893831_27895223:SK-MEL-2,SK-MEL-28,UACC-257|chr19_27895220_27895438:SK-MEL-28|chr19_27904827_27906295:M14,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,SNB-75,SW-620,UACC-257|chr19_27906382_27907188:M14,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,SNB-75,UACC-257	0	0	none
chr19_27962551_27974635	yes	1	10	chr19_27961291_27964057:M14,MDA-MB-435,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SNB-19,SNB-75,U251,UACC-257	0	0	none
chr19_28312623_28322692	yes	1	11	chr19_28312623_28316433:A498,HOP-62,OVCAR-3,OVCAR-4,RXF_393,SNB-19,SNB-75,U251,UACC-62,UO-31,X786-0	0	0	none
chr19_28458958_28634329	yes	9	3	chr19_28458958_28470774:A498,HL-60,HS_578T,K-562,MALME-3M,MOLT-4,NCI-H226,RPMI-8226,RXF_393,UO-31,X786-0|chr19_28479953_28484111:A498,ACHN,COLO_205,HL-60,K-562,MALME-3M,NCI-H226,OVCAR-4,RPMI-8226,SK-MEL-28,UO-31|chr19_28485432_28491011:HL-60,M14,MALME-3M,MOLT-4,RPMI-8226|chr19_28515220_28518391:K-562,RPMI-8226|chr19_28540941_28547889:K-562|chr19_28579490_28594509:K-562,MOLT-4,RPMI-8226,SK-MEL-28|chr19_28600260_28610925:A498,COLO_205,HCC-2998,HL-60,K-562,MOLT-4,OVCAR-5,RPMI-8226,RXF_393|chr19_28618867_28622029:CCRF-CEM,MOLT-4,RPMI-8226|chr19_28628310_28634329:CCRF-CEM,MOLT-4,RPMI-8226	0	0	none
chr19_28687050_28711113	yes	2	10	chr19_28691393_28696784:HOP-62,HS_578T,M14,MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,SNB-75,UACC-257,UACC-62|chr19_28699372_28702902:HOP-62,HS_578T,M14,MALME-3M,NCI-H226,SF-539,SK-MEL-2,SK-MEL-28,SNB-75,UACC-257	0	0	none
chr19_2887580_2906544	yes	1	1	chr19_2905305_2906544:HCT-15	1	7	chr19_2899562_2904312:CCRF-CEM,HS_578T,MALME-3M,MDA-MB-231,RPMI-8226,SNB-75,SR
chr19_28959221_28980775	yes	1	7	chr19_28965864_28968825:HS_578T,NCI-H226,RXF_393,SF-268,SN12C,TK-10,UO-31	0	0	none
chr19_29605495_29607024	no	0	0	none	0	0	none
chr19_29645349_29722774	yes	3	5	chr19_29679021_29684586:CCRF-CEM,HL-60,HOP-62,M14,MOLT-4,OVCAR-3,SF-539,SK-MEL-2,SK-OV-3,SNB-19,SR,UACC-257|chr19_29704642_29709871:M14,MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,SW-620,UACC-257|chr19_29720610_29722774:M14,MALME-3M,SK-MEL-28,SK-MEL-5,UACC-257	0	0	none
chr19_29830444_29846597	yes	3	7	chr19_29830444_29836291:IGROV1,LOX_IMVI,MCF7,OVCAR-3,OVCAR-4,OVCAR-5,SK-OV-3,SR,T-47D|chr19_29840585_29841876:A498,HCT-116,IGROV1,MCF7,OVCAR-3,OVCAR-4,OVCAR-8,SK-MEL-2,SN12C|chr19_29842038_29844453:HL-60,IGROV1,OVCAR-3,OVCAR-4,SK-MEL-2,SK-MEL-28,UACC-257	0	0	none
chr19_29942561_29966486	yes	3	8	chr19_29944254_29946320:K-562,MCF7,NCI_ADR-RES,SR|chr19_29946676_29948844:OVCAR-8,SR|chr19_29951583_29953542:CAKI-1,DU-145,K-562,LOX_IMVI,MOLT-4,NCI_ADR-RES,SK-OV-3,SR	1	1	chr19_29942537_29944126:T-47D
chr19_30046337_30051575	yes	1	11	chr19_30045636_30051575:M14,MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,SNB-19,SNB-75,SR,UACC-257,UACC-62	0	0	none
chr19_3023125_3074041	yes	5	4	chr19_3041401_3042290:K-562,MOLT-4|chr19_3047359_3048584:K-562|chr19_3056786_3058646:K-562,MCF7,MDA-MB-468,NCI-H322M,NCI-H522,OVCAR-3,SF-539,T-47D|chr19_3065365_3066538:IGROV1,K-562,SW-620|chr19_3072541_3073311:HCC-2998,K-562,OVCAR-5,SNB-19	2	9	chr19_3034271_3037663:SNB-75|chr19_3060960_3062045:DU-145,HOP-92,HS_578T,MDA-MB-231,NCI-H322M,OVCAR-4,SF-295,SNB-75,UACC-62
chr19_30660923_30693374	yes	7	2	chr19_30661404_30663548:COLO_205,OVCAR-4,SK-MEL-28,SNB-19,SNB-75,SR,U251,UACC-257,UACC-62|chr19_30670210_30670979:MDA-MB-435,SK-MEL-2,SK-MEL-5,UACC-257|chr19_30675724_30676403:UACC-257|chr19_30685921_30686868:SK-MEL-2,UACC-257|chr19_30687050_30687800:UACC-257|chr19_30688012_30688354:UACC-257|chr19_30691502_30693374:SK-MEL-2,UACC-257	0	0	none
chr19_31119475_31154804	yes	2	8	chr19_31136062_31137169:HS_578T|chr19_31153220_31155307:A498,HOP-62,HS_578T,RXF_393,SF-268,SN12C,SNB-19,UO-31	0	0	none
chr19_31212569_31234014	yes	4	6	chr19_31216106_31217295:SN12C,SR|chr19_31217649_31219623:RXF_393,X786-0|chr19_31223132_31225407:HS_578T,LOX_IMVI,SF-268,SF-539,UACC-62|chr19_31230802_31234169:HS_578T,LOX_IMVI,SF-539,SNB-19,SNB-75,UACC-62	0	0	none
chr19_3128433_3193729	yes	1	11	chr19_3171204_3173429:HOP-92,M14,MALME-3M,MDA-MB-435,NCI-H322M,SK-MEL-2,SK-MEL-28,SK-MEL-5,SR,UACC-257,UACC-62	0	0	none
chr19_31407565_31410092	no	0	0	none	0	0	none
chr19_32361259_32376979	no	0	0	none	1	9	chr19_32370887_32375981:CCRF-CEM,HL-60,MALME-3M,MOLT-4,NCI-H522,RPMI-8226,SK-MEL-5,SR,UACC-257
chr19_33003513_33114689	yes	2	10	chr19_33021656_33028053:HCT-116,HCT-15,HT29,IGROV1,MCF7,MDA-MB-468,NCI-H322M,OVCAR-4,OVCAR-5,OVCAR-8|chr19_33099412_33102433:A549,COLO_205,DU-145,HCC-2998,HCT-15,HT29,KM12,OVCAR-5,PC-3,SW-620	0	0	none
chr19_33176310_33201292	yes	3	3	chr19_33185777_33186510:HL-60|chr19_33186654_33187449:HL-60|chr19_33195027_33201649:HL-60,NCI-H460,SF-539	1	1	chr19_33175778_33177012:MDA-MB-231
chr19_33241090_33318232	yes	6	5	chr19_33247637_33250533:HL-60|chr19_33251579_33257256:HL-60|chr19_33258482_33262936:HL-60|chr19_33264214_33276681:A549,COLO_205,HCC-2998,HL-60,HT29,MCF7,MDA-MB-468,OVCAR-5,PC-3,SW-620,T-47D|chr19_33276776_33282986:A549,HCC-2998,HL-60,HT29,IGROV1,MDA-MB-231,NCI-H226,NCI-H460,PC-3,SF-539|chr19_33297042_33301660:HL-60,MCF7,MDA-MB-468,NCI-H322M,T-47D	0	0	none
chr19_33372454_33375328	no	0	0	none	0	0	none
chr19_3346088_3417512	yes	1	9	chr19_3374080_3376314:K-562,NCI_ADR-RES,NCI-H226,SF-295,SF-539,SNB-19,SNB-75,SW-620,U251	1	2	chr19_3365030_3370697:MALME-3M,NCI-H322M
chr19_33461045_33474155	yes	1	10	chr19_33461045_33466207:IGROV1,M14,MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,SNB-75,UACC-257,UACC-62	0	0	none
chr19_33794532_33805851	yes	2	10	chr19_33798077_33799192:M14,MALME-3M,NCI-H23,NCI-H522|chr19_33802632_33805851:A498,A549,COLO_205,HCC-2998,HCT-15,HT29,NCI-H226,NCI-H460,SK-OV-3,SW-620	1	10	chr19_33793790_33797953:CAKI-1,CCRF-CEM,HOP-92,HS_578T,IGROV1,MOLT-4,OVCAR-5,RXF_393,U251,X786-0
chr19_34171356_34174416	no	0	0	none	0	0	none
chr19_34217900_34237057	no	0	0	none	0	0	none
chr19_34253959_34294400	yes	4	7	chr19_34259207_34263543:A498,HCT-116,HCT-15,HOP-62,IGROV1,MALME-3M,MDA-MB-468,NCI_ADR-RES,NCI-H226,OVCAR-4,SW-620|chr19_34263508_34266651:IGROV1,M14,MCF7,MDA-MB-468,NCI-H226,SF-539|chr19_34282301_34285483:HS_578T,M14,MALME-3M,MDA-MB-468,NCI-H226,SK-MEL-2,SK-MEL-28|chr19_34289748_34294482:HS_578T,IGROV1,NCI_ADR-RES,NCI-H226,OVCAR-4,OVCAR-8,SK-OV-3	0	0	none
chr19_34427766_34439899	no	0	0	none	0	0	none
chr19_3448470_3461194	yes	1	9	chr19_3456815_3461291:A498,CAKI-1,EKVX,NCI-H226,RXF_393,SF-539,TK-10,U251,X786-0	0	0	none
chr19_3473844_3522360	yes	3	6	chr19_3477979_3479877:CCRF-CEM,MOLT-4|chr19_3493543_3495344:CCRF-CEM,IGROV1,MOLT-4|chr19_3519629_3522753:COLO_205,HCC-2998,HCT-15,K-562,KM12,NCI-H322M	1	1	chr19_3504643_3506189:MALME-3M
chr19_34994565_35007893	yes	2	5	chr19_34996867_34998359:CCRF-CEM,MALME-3M,MOLT-4,SK-MEL-2,UACC-62|chr19_35002917_35004817:A549,COLO_205,HT29,SR,SW-620	1	1	chr19_34998642_35000289:RPMI-8226
chr19_35105771_35175560	yes	1	8	chr19_35141553_35142859:BT-549,CAKI-1,HCT-116,K-562,LOX_IMVI,MALME-3M,NCI-H23,SK-MEL-2	1	8	chr19_35153142_35156886:COLO_205,MCF7,NCI-H522,OVCAR-3,OVCAR-4,SNB-75,SW-620,TK-10
chr19_35246457_35270146	yes	1	1	chr19_35250250_35250499:HCT-15	0	0	none
chr19_35295884_35321211	yes	2	3	chr19_35295519_35298431:K-562,RPMI-8226|chr19_35300051_35306158:CAKI-1,K-562,T-47D	0	0	none
chr19_3535941_3586208	yes	1	9	chr19_3535941_3538025:M14,MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,SNB-75,UACC-257,UACC-62	4	3	chr19_3547556_3557481:A549,CCRF-CEM,COLO_205,HCC-2998,HS_578T,KM12,NCI-H322M,OVCAR-3,SW-620,T-47D|chr19_3557658_3559716:CCRF-CEM,COLO_205,HCC-2998|chr19_3559664_3572678:CCRF-CEM,COLO_205,HCC-2998,HL-60,KM12,MOLT-4,NCI-H322M,OVCAR-3,OVCAR-5,RPMI-8226,X786-0|chr19_3572891_3575762:CCRF-CEM,COLO_205,SR
chr19_35376695_35418388	yes	1	2	chr19_35407740_35411077:RPMI-8226,SK-MEL-28	0	0	none
chr19_35596811_35613447	yes	2	4	chr19_35597841_35599586:A498,NCI-H226,OVCAR-4,SF-268,SK-MEL-2,SN12C,SW-620,UACC-62|chr19_35609478_35611291:COLO_205,HCC-2998,RPMI-8226,SW-620	1	4	chr19_35611912_35613793:HS_578T,MALME-3M,MDA-MB-231,T-47D
chr19_35715959_35759188	yes	1	2	chr19_35729485_35731533:COLO_205,HT29	2	5	chr19_35715541_35717889:CCRF-CEM,MOLT-4|chr19_35748510_35751265:COLO_205,MALME-3M,MDA-MB-231,NCI_ADR-RES,SW-620
chr19_35897997_35912649	no	0	0	none	1	1	chr19_35897964_35910544:U251
chr19_36106904_36170796	yes	2	5	chr19_36153419_36162181:IGROV1,K-562,KM12,NCI_ADR-RES,NCI-H522,OVCAR-8,SK-OV-3,SNB-19|chr19_36167860_36171694:HCC-2998,HCT-15,IGROV1,NCI-H522,SN12C	1	1	chr19_36113774_36116551:CCRF-CEM
chr19_36271633_36306858	yes	7	2	chr19_36271633_36273022:OVCAR-8|chr19_36274531_36275112:OVCAR-8|chr19_36282589_36283247:NCI_ADR-RES,OVCAR-8|chr19_36287852_36288303:NCI_ADR-RES,OVCAR-8|chr19_36294783_36295374:OVCAR-8|chr19_36300387_36301019:NCI_ADR-RES,OVCAR-8|chr19_36305258_36305922:NCI_ADR-RES,OVCAR-8	0	0	none
chr19_36377916_36455000	yes	3	7	chr19_36390565_36395703:NCI_ADR-RES,OVCAR-4,OVCAR-8,SF-268,SN12C|chr19_36400013_36403146:NCI_ADR-RES,OVCAR-8,SF-268|chr19_36446282_36453179:LOX_IMVI,MDA-MB-468,NCI_ADR-RES,OVCAR-4,OVCAR-8,SF-268,SN12C	1	10	chr19_36377916_36379775:HT29,LOX_IMVI,MALME-3M,MDA-MB-231,RXF_393,SF-295,SK-MEL-28,SNB-75,SR,UO-31
chr19_3699380_3728698	yes	4	5	chr19_3717528_3719268:HCT-116,HCT-15,HT29,MDA-MB-468,NCI-H322M,NCI-H460,OVCAR-5|chr19_3719931_3721522:A549,COLO_205,HCC-2998,HCT-15,HT29,KM12,NCI-H460,OVCAR-5|chr19_3723847_3725524:HCT-116,HCT-15|chr19_3727547_3729308:HCT-116,HT29,IGROV1,SR,SW-620	0	0	none
chr19_37654333_37719909	yes	1	6	chr19_37666456_37671818:MDA-MB-468,NCI-H522,OVCAR-4,OVCAR-8,SF-268,SN12C	1	10	chr19_37653637_37658893:COLO_205,HCC-2998,HT29,LOX_IMVI,MALME-3M,OVCAR-5,PC-3,RPMI-8226,SR,UACC-257
chr19_37898973_38080094	no	0	0	none	1	10	chr19_37994240_38006335:CCRF-CEM,HCC-2998,K-562,KM12,MCF7,MOLT-4,NCI-H23,NCI-H522,RPMI-8226,SK-MEL-5
chr19_38243349_38336962	no	0	0	none	3	1	chr19_38312561_38315877:MALME-3M,NCI-H226,NCI-H322M,NCI-H522|chr19_38316038_38321847:U251,UACC-257|chr19_38335798_38337747:MALME-3M
chr19_38617901_38743875	yes	1	9	chr19_38629281_38634716:A498,A549,ACHN,DU-145,HT29,IGROV1,NCI-H322M,OVCAR-5,UO-31	2	1	chr19_38647614_38673385:MOLT-4|chr19_38673810_38703604:MOLT-4
chr19_38761148_38901124	yes	2	11	chr19_38761889_38765221:A498,A549,ACHN,HCC-2998,IGROV1,RXF_393,TK-10,X786-0|chr19_38855748_38858183:CCRF-CEM,HOP-92,MALME-3M,MCF7,OVCAR-3,RXF_393,SF-539,SK-MEL-2,SK-MEL-28,SR,SW-620	0	0	none
chr19_39045641_39094861	yes	3	9	chr19_39056819_39058496:HT29|chr19_39063586_39066423:HCT-116,LOX_IMVI,OVCAR-4,SF-295,SK-MEL-2,SK-MEL-28,SK-MEL-5,SNB-19,SNB-75,U251,UACC-257|chr19_39092935_39094932:BT-549,EKVX,NCI-H226,OVCAR-4,SF-539,SNB-19,SNB-75,SR,U251	1	10	chr19_39070192_39081766:HCC-2998,HL-60,K-562,KM12,MCF7,MOLT-4,NCI-H522,RPMI-8226,SK-OV-3,T-47D
chr19_39124446_39168205	yes	5	9	chr19_39128365_39134359:M14,MALME-3M,MCF7,MDA-MB-468,NCI_ADR-RES,NCI-H322M,SW-620,T-47D|chr19_39138548_39139439:HOP-62,MDA-MB-231,UO-31|chr19_39143699_39147102:HT29,MALME-3M,MDA-MB-468,SK-MEL-28,SW-620,T-47D,UACC-257|chr19_39159308_39161889:COLO_205,MCF7,MDA-MB-468,NCI-H322M,SW-620,T-47D|chr19_39165993_39168333:HCT-15,HT29,MCF7,MDA-MB-468,NCI-H322M,OVCAR-3,OVCAR-4,OVCAR-5,T-47D	1	3	chr19_39124881_39127781:MDA-MB-231,SNB-75,UACC-62
chr19_39385699_39454923	no	0	0	none	0	0	none
chr19_39474668_39498635	yes	2	7	chr19_39492531_39494688:DU-145,IGROV1,NCI-H322M,NCI-H522,SN12C|chr19_39497375_39498759:HCT-15,MALME-3M,NCI-H522,RPMI-8226,SK-MEL-5,SW-620,UACC-257	0	0	none
chr19_3962054_4017174	no	0	0	none	1	1	chr19_3965307_3971124:MDA-MB-231
chr19_39675046_39711742	yes	4	4	chr19_39674220_39680537:A498,HCT-15,NCI-H226,NCI-H460,OVCAR-3,OVCAR-4,OVCAR-5,SF-295,SK-OV-3,SR,T-47D,X786-0|chr19_39683544_39685455:OVCAR-4,SR|chr19_39695565_39698446:EKVX,MDA-MB-468,NCI-H23,OVCAR-3,OVCAR-4|chr19_39707973_39711742:EKVX,MDA-MB-468,OVCAR-3,OVCAR-4	0	0	none
chr19_39823931_39846924	yes	1	10	chr19_39838788_39843612:CCRF-CEM,IGROV1,K-562,M14,NCI_ADR-RES,RPMI-8226,SK-OV-3,SR,T-47D,UACC-62	0	0	none
chr19_39876584_39906189	yes	8	3	chr19_39877058_39877619:RPMI-8226|chr19_39879405_39883751:IGROV1,SK-OV-3|chr19_39885498_39889362:A549,IGROV1,SW-620|chr19_39890941_39891769:HCT-15,IGROV1|chr19_39892035_39894131:IGROV1,MOLT-4,RPMI-8226|chr19_39896823_39898502:CCRF-CEM,IGROV1|chr19_39898644_39899931:IGROV1|chr19_39901714_39905478:A549,IGROV1,SW-620	0	0	none
chr19_39934519_39972465	yes	2	3	chr19_39934519_39936869:A549,CCRF-CEM,IGROV1,OVCAR-5|chr19_39959521_39961849:A549,IGROV1,NCI-H322M	0	0	none
chr19_40265952_40287158	yes	2	1	chr19_40267516_40270146:K-562|chr19_40271468_40275650:K-562	0	0	none
chr19_40392007_40446902	yes	1	8	chr19_40409765_40412929:DU-145,HCT-116,HOP-92,OVCAR-5,RPMI-8226,SF-539,TK-10,UACC-62	2	1	chr19_40423753_40427103:CCRF-CEM|chr19_40431564_40436302:MOLT-4
chr19_4042248_4146849	yes	2	1	chr19_4087601_4091039:COLO_205,HL-60,HT29,K-562,MOLT-4,OVCAR-5,SR|chr19_4099639_4101584:HL-60	3	10	chr19_4057338_4065362:CCRF-CEM,MALME-3M|chr19_4122491_4125065:MDA-MB-468|chr19_4128945_4133564:CCRF-CEM,COLO_205,HL-60,KM12,MCF7,MOLT-4,PC-3,RPMI-8226,SR,X786-0
chr19_40569803_40624602	yes	3	4	chr19_40591708_40593764:IGROV1,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5|chr19_40593718_40595459:A498,A549,ACHN,CAKI-1,HCT-116,LOX_IMVI,NCI_ADR-RES,RXF_393,SK-MEL-2,SK-MEL-5,SR|chr19_40621763_40624602:A498,HCT-116,K-562,NCI-H226	2	2	chr19_40569803_40570593:CCRF-CEM,COLO_205,HL-60,K-562,KM12,MDA-MB-468,MOLT-4,OVCAR-3,OVCAR-5,RPMI-8226,SK-MEL-5,UACC-62|chr19_40575886_40577973:MDA-MB-231,OVCAR-3
chr19_40714014_40736209	yes	2	10	chr19_40723993_40726446:M14,MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5|chr19_40734226_40737042:HCC-2998,HCT-15,HT29,IGROV1,MDA-MB-468,NCI-H322M,OVCAR-4,OVCAR-5,SK-OV-3,SN12C	0	0	none
